1940,76,2719
1940,76,1101
1940,76,1256
1940,76,275
1940,76,3376
1940,76,4071
1940,76,1031
1940,76,538
1940,76,2401
1940,76,1159
1940,76,1022
1940,76,563
1940,76,86
1940,76,1288
1940,76,1499
1940,76,2767
1940,76,1487
1940,76,2080
1940,76,92
1940,76,3464
1940,76,111
1940,76,3842
1940,76,2103
1940,76,1008
1940,76,4527
1940,76,4966
1940,76,4328
1940,76,1307
1940,76,3308
1940,76,1882
1940,76,1276
1940,76,3657
1940,76,996
1940,76,1431
1940,76,4459
1940,76,1223
1940,76,4457
1940,76,1185
1940,76,293
1940,76,3888
1940,76,2937
1940,76,3070
1940,76,21
1940,76,2637
1940,76,3909
1940,76,457
1940,76,3235
1940,76,4431
1940,76,2508
1940,76,1940
1940,76,3291
1940,76,351
1940,76,695
1940,76,201
1940,76,190
1940,76,4191
1940,76,374
1940,76,375
1940,76,2948
1940,76,3956
1940,76,2245
1940,76,1232
1940,76,1526
1940,76,3971
1940,76,2692
1940,76,3200
1940,76,2556
1940,76,3661
1940,76,4586
1940,76,4085
1940,76,527
1940,76,1044
1940,76,560
1940,77,2376
1940,77,551
1940,77,3031
1940,77,33
1940,77,764
1940,77,3323
1940,77,2512
1940,77,3769
1940,77,1107
1940,77,3370
1940,77,2475
1940,77,3716
1940,77,4107
1940,77,2953
1940,77,1924
1940,77,361
1940,77,1895
1940,77,4649
1940,77,2908
1940,77,581
1940,77,435
1940,77,4958
1940,77,1372
1940,77,1383
1940,77,1384
1940,77,2162
1940,77,1401
1940,77,95
1940,77,2823
1940,77,99
1940,77,2086
1940,77,2946
1940,77,2813
1940,77,1421
1940,77,110
1940,77,1446
1940,77,4020
1940,77,592
1940,77,121
1940,77,1470
1940,77,2350
1940,77,1476
1940,77,611
1940,77,1492
1940,77,2764
1940,77,4372
1940,77,4916
1940,77,4915
1940,77,2039
1940,77,2745
1940,77,624
1940,77,2724
1940,77,4911
1940,77,4392
1940,77,2680
1940,77,1534
1940,77,1563
1940,77,3570
1940,77,3014
1940,77,3946
1940,77,4418
1940,77,2015
